Index,Track URI,Artist Name,Track Name,Release Date,Danceability,Energy,Key,Loudness,Mode,Speechiness,Accousticness,Instrumentalness,Liveness,Valence,Tempo,popularity
1,spotify:track:698eQRku24PIYPQPHItKlA,Luke Combs,She Got the Best of Me,2018-06-01,0.533,0.907,11,-3.793,1,0.0406,0.0292,0,0.386,0.7,150.99,76
2,spotify:track:34DFpyq5NJJ79GnGbbJH3p,Scotty McCreery,This Is It,2018-03-16,0.557,0.511,8,-6.788,1,0.0291,0.254,0,0.099,0.602,156.042,10
3,spotify:track:6biq5BjD7UAXpefEgDVbp5,Carly Pearce,Closer To You,2020-02-14,0.663,0.686,4,-4.549,0,0.0304,0.124,0,0.112,0.444,111.971,61
4,spotify:track:3I7krC8kr0gFR7P6vInR1I,Billy Currington,Do I Make You Wanna,2015-06-02,0.553,0.747,9,-5.432,1,0.0279,0.106,0,0.154,0.521,90.012,68
5,spotify:track:0OWZFobGSIW9GrSlQ9C5pc,Thomas Rhett,Marry Me,2017-09-08,0.333,0.412,3,-8.633,1,0.029,0.0977,0,0.113,0.474,85.028,71
6,spotify:track:7ELW8QMNYkoxWskwXMD3WW,Brett Young,Here Tonight,2018-09-14,0.517,0.776,11,-5.271,1,0.0362,0.0144,0,0.113,0.448,96.002,0
7,spotify:track:2gVBXeTjwL0ZEh9gjsQjk0,Chris Lane,Take Back Home Girl (Feat. Tori Kelly),2017-09-29,0.494,0.78,11,-3.825,1,0.064,0.368,0,0.0921,0.664,159.708,0
8,spotify:track:3LhzpgimYSZhTx5KuchwVX,Morgan Wallen,Up Down (Feat. Florida Georgia Line),2017-10-06,0.59,0.881,6,-2.898,1,0.0349,0.0913,0,0.157,0.734,129.928,0
9,spotify:track:7DEgL4rErTwjrsxLMlUVhf,Jason Aldean,Any Ol' Barstool,2016-10-07,0.536,0.722,4,-4.163,1,0.0284,0.312,0,0.117,0.499,143.78,48
10,spotify:track:4Qx06Fzsepmdz2NGSWfZck,Luke Combs,Beautiful Crazy,2018-05-04,0.552,0.402,11,-7.431,1,0.0262,0.676,0,0.0928,0.382,103.313,0
11,spotify:track:6Axy0fL3FBtwx2rwl4soq9,Russell Dickerson,Blue Tacoma,2016-10-24,0.458,0.894,9,-4.903,1,0.0398,0.0209,0,0.221,0.717,160.125,0
12,spotify:track:1mJMD1VIQ7jWTP9DK2zmY0,Morgan Evans,Kiss Somebody,2017-07-21,0.492,0.681,6,-7.038,1,0.075,0.143,0,0.199,0.511,178.01,56
13,spotify:track:4H0vNUFcHPz5lytcLjwqkr,Maren Morris,Rich,2017-03-17,0.565,0.855,5,-4.189,1,0.0557,0.0445,0,0.32,0.852,74.98,63
14,spotify:track:7iDa6hUg2VgEL1o1HjmfBn,Bebe Rexha,Meant to Be (feat. Florida Georgia Line),2017-08-11,0.643,0.783,10,-6.458,1,0.0856,0.047,0,0.083,0.579,154.084,78
15,spotify:track:2dwoqUYTy6SOy1dFqcTndC,Jason Aldean,Drowns The Whiskey (feat. Miranda Lambert),2018-04-13,0.552,0.698,8,-4.817,1,0.0306,0.294,0.000103,0.0905,0.6,90.006,64
16,spotify:track:3UZ9aPaYlBBlAvpdh3kK0U,Luke Combs,Hurricane,2015-11-27,0.443,0.804,10,-6.432,1,0.0406,0.0165,2.89e-06,0.181,0.438,151.928,0
17,spotify:track:0OlS52TmtK2gPaEtdmr7DN,Old Dominion,No Such Thing as a Broken Heart,2017-08-25,0.651,0.782,8,-4.295,1,0.0718,0.295,0,0.107,0.945,171.987,64
18,spotify:track:0H04yVa3DJxoXbLBpAb7iV,Chris Young,I'm Comin' Over,2015-11-13,0.575,0.845,10,-3.838,1,0.035,0.0282,0,0.0814,0.376,127.997,69
19,spotify:track:5HnXcJJbNXQQ7tRlQ9VN1v,Dustin Lynch,Good Girl,2018-05-05,0.711,0.696,7,-5.05,1,0.0871,0.16,0,0.17,0.694,80.512,2
20,spotify:track:3LK6wDkhbTyg8GhJidU9oC,Thomas Rhett,Remember You Young,2019-05-31,0.396,0.51,6,-6.274,1,0.0327,0.355,0,0.113,0.299,113.994,66
21,spotify:track:7K0lR5Ngf5jkOWt1g6ut6l,Jason Aldean,Girl Like You,2018-04-13,0.543,0.88,3,-4.204,0,0.0365,0.035,0.000227,0.304,0.483,144.057,65
22,spotify:track:5AnSllIrgGsCZzZJkVnApx,Chase Rice,Eyes On You,2017-11-17,0.606,0.652,9,-6.982,1,0.0281,0.323,0,0.201,0.476,97.155,73
23,spotify:track:42fw0rxRO2xbesF6mJfd4Y,Dan + Shay,Tequila,2018-06-22,0.489,0.581,11,-5.731,1,0.0281,0.0312,0,0.132,0.494,86.016,75
24,spotify:track:4hPpVbbakQNv8YTHYaOJP4,Marshmello,One Thing Right,2019-06-21,0.659,0.623,4,-2.253,1,0.0451,0.0667,0,0.582,0.439,88.042,78
25,spotify:track:4ivJ1KEoJ6S93JbSWvOME1,Riley Green,There Was This Girl,2018-06-29,0.609,0.884,1,-4.235,1,0.034,0.00191,0,0.109,0.949,127.974,0
26,spotify:track:1mMLMZYXkMueg65jRRWG1l,Luke Combs,When It Rains It Pours,2017-06-02,0.551,0.801,6,-5.069,1,0.0303,0.013,6.03e-06,0.265,0.625,128.027,78
27,spotify:track:6usHXaTn54uwwozmH00d3X,Old Dominion,Written in the Sand,2017-07-07,0.725,0.437,6,-9.602,1,0.0575,0.593,0,0.0842,0.759,83.985,0
28,spotify:track:7zVCrzzEJU7u24sbJPXA5W,Kane Brown,What Ifs (feat. Lauren Alaina),2016-12-02,0.612,0.799,10,-4.603,1,0.0275,0.00898,0,0.172,0.687,125.976,74
29,spotify:track:1R9FxlRkvKtt36dtTHs93X,Jon Pardi,Head Over Boots,2015-09-04,0.637,0.669,7,-4.608,1,0.0237,0.0919,0,0.103,0.638,108.078,0
30,spotify:track:2ZYbPXhx4OCmdTsMThbSEW,Jimmie Allen,Best Shot,2017-10-06,0.629,0.464,4,-8.72,1,0.0334,0.75,0,0.0853,0.523,156.051,0
31,spotify:track:7JK0nPw98vJmgEElMUfg5v,Jordan Davis,Take It From Me,2017-10-20,0.6,0.892,10,-3.117,1,0.0521,0.0291,0,0.352,0.595,100.057,58
32,spotify:track:6zLdXcmvIxnAXpz9sXFnIE,Thomas Rhett,Craving You,2017-03-31,0.612,0.841,9,-3.795,0,0.0353,0.000907,0,0.37,0.499,104.986,0
33,spotify:track:0LcspVKJxhEQQSvVMiTPWz,Ingrid Andress,More Hearts Than Mine,2019-04-05,0.573,0.428,0,-7.414,1,0.0263,0.112,0,0.114,0.4,80.907,66
34,spotify:track:2ZFrEp20VO25BXYhMxh0GW,Kenny Chesney,Get Along,2018-04-06,0.602,0.805,7,-6.079,1,0.0473,0.0997,0,0.172,0.322,92.401,53
