Index,Track URI,Artist Name,Track Name,Release Date,Danceability,Energy,Key,Loudness,Mode,Speechiness,Accousticness,Instrumentalness,Liveness,Valence,Tempo,popularity
1,spotify:track:1YD3Dg7Olipi5FGVDLHWAu,Kanye West,All Day,2015-03-02,0.861,0.651,9,-4.718,0,0.111,0.0739,0,0.211,0.421,122.985,0
2,spotify:track:62r62ArmWq38cu6QCVgyTc,Kanye West,Jesus Walks,2004-02-13,0.427,0.844,3,-4.597,0,0.427,0.578,0,0.284,0.716,85.346,0
3,spotify:track:12d5QFwzh60IIHlsSnAvps,Drake,10 Bands,2015-02-12,0.825,0.756,11,-3.687,0,0.383,0.265,2.15e-06,0.0762,0.888,172.938,64
4,spotify:track:4jtyUzZm9WLc2AdaJ1dso7,Drake,0 To 100 / The Catch Up,2013-07-14,0.559,0.716,11,-3.964,0,0.39,0.737,0,0.252,0.504,176.618,71
5,spotify:track:2gZUPNdnz5Y45eiGxpHGSc,Kanye West,POWER,2010-11-22,0.542,0.914,0,-4.747,0,0.113,0.0161,0,0.744,0.576,153.993,78
6,spotify:track:2Zb7wnGUnNPCas2E0wWSQ5,JAY-Z,Ni**as In Paris,2011-08-08,0.788,0.859,1,-5.542,1,0.315,0.127,0,0.348,0.769,140.027,36
7,spotify:track:3rbNV2GI8Vtd8byhUtXZID,Kanye West,Clique,2012-09-06,0.704,0.569,7,-4.998,0,0.247,0.0488,0,0.191,0.313,109.314,64
8,spotify:track:6C7RJEIUDqKkJRZVWdkfkH,Kanye West,Stronger,2007-09-11,0.625,0.726,10,-7.731,0,0.155,0.00728,0,0.318,0.483,103.98,1
9,spotify:track:6ndmKwWqMozN2tcZqzCX4K,Fort Minor,Remember the Name (feat. Styles of Beyond),2005-11-21,0.688,0.835,8,-4.162,1,0.0911,0.0583,2.87e-06,0.0795,0.88,84.858,74
10,spotify:track:439TlnnznSiBbQbgXiBqAd,Kendrick Lamar,m.A.A.d city,2012,0.487,0.729,2,-6.815,1,0.271,0.0538,4.07e-06,0.44,0.217,91.048,67
11,spotify:track:1ce3DvvGQn6hY2LMGMLCr5,Kanye West,Black Skinhead,2013-01-01,0.578,0.825,1,-6.107,1,0.322,0.000986,0,0.176,0.283,130.089,0
12,spotify:track:5YEOzOojehCqxGQCcQiyR4,Desiigner,Panda,2016-06-26,0.576,0.766,10,-4.943,0,0.449,0.028,1.68e-06,0.366,0.236,144.833,74
13,spotify:track:3PBC860LAeS4utDAqlqIe2,JAY-Z,F*ckwithmeyouknowigotit,2013-07-04,0.611,0.464,10,-8.068,0,0.294,0.0171,0.214,0.0794,0.274,127.766,57
14,spotify:track:0srwKuJPH8yBzzFUJMBQM2,Tyga,Rack City,2012-01-01,0.929,0.339,1,-10.881,1,0.371,0.0373,1.96e-05,0.187,0.273,98.986,66
15,spotify:track:5SsR3wtCOafDmZgvIdRhSm,ScHoolboy Q,Man Of The Year,2014-01-01,0.749,0.865,3,-5.228,1,0.0413,0.00536,0,0.198,0.371,111.914,71
16,spotify:track:6fAyRZ0GHuuvSOEIOwi58N,Kendrick Lamar,Backseat Freestyle,2012,0.546,0.651,1,-7.601,1,0.3,0.000739,0,0.235,0.646,77.878,54
17,spotify:track:27GmP9AWRs744SzKcpJsTZ,Drake,Jumpman,2015-09-20,0.852,0.553,1,-7.286,1,0.187,0.0559,0,0.332,0.656,142.079,74
18,spotify:track:22L7bfCiAkJo5xGSQgmiIO,Kanye West,All Of The Lights,2010-11-22,0.531,0.803,1,-3.284,1,0.0717,0.0796,1.71e-05,0.176,0.221,142.113,75
19,spotify:track:4ImL3v98u2BLkwnyQDjfRm,Kanye West,Can't Tell Me Nothing,2007-09-11,0.594,0.614,5,-6.091,0,0.0536,0.0121,0,0.823,0.101,79.968,0
20,spotify:track:4IowQDUOzUvNtp72HMDcKO,Chief Keef,Love Sosa,2012-01-01,0.772,0.413,0,-8.193,0,0.089,0.0361,0,0.111,0.211,131.965,74
21,spotify:track:3R1k8P1MrDdLSRhlTaaWAS,JAY-Z,Who Gon Stop Me,2011-08-08,0.593,0.73,0,-4.638,0,0.159,0.0408,0.000156,0.715,0.377,133.879,59
22,spotify:track:7xq3uN2toVZ8IbNzfTucyJ,G-Eazy,Calm Down,2015-12-04,0.537,0.624,11,-8.794,1,0.325,0.000175,2.2e-06,0.116,0.409,102.315,63
