Index,Track URI,Artist Name,Track Name,Release Date,Danceability,Energy,Key,Loudness,Mode,Speechiness,Accousticness,Instrumentalness,Liveness,Valence,Tempo,popularity
1,spotify:track:1jJci4qxiYcOHhQR247rEU,MGMT,Kids,2007-12-14,0.451,0.931,9,-3.871,1,0.0719,0.00076,0.0049,0.361,0.172,122.961,78
2,spotify:track:5UMC0HkqpmwarA1HZ7z3Ck,Minus the Bear,Pachuca Sunrise,2005-08-23,0.469,0.877,11,-5.729,0,0.0347,0.0277,0.00165,0.366,0.71,154.983,50
3,spotify:track:7hwcojGiRqYm100tSmpZE3,Phoenix,Lisztomania,2009-05-25,0.486,0.784,0,-6.68,1,0.0852,0.0339,0.00452,0.53,0.315,195.154,64
4,spotify:track:2cOCunrzyHVpTrTwSIKRbt,Miike Snow,Black & Blue,2009,0.665,0.793,5,-3.888,0,0.0302,0.0166,0.000215,0.113,0.475,135.011,51
5,spotify:track:5r5cp9IpziiIsR6b93vcnQ,Empire of the Sun,Walking On A Dream,2008-10-03,0.871,0.701,5,-5.594,0,0.0458,0.257,7.52e-06,0.0589,0.716,126.975,76
6,spotify:track:4ek3pPdfvIbPxynmlisI0k,Edward Sharpe & The Magnetic Zeros,40 Day Dream - 2019 - Remaster,2009-07-07,0.56,0.681,2,-4.875,1,0.0485,0.102,0,0.0573,0.645,81.991,59
7,spotify:track:2gE0khQ948RYQOeTgCUL2a,Animal Collective,My Girls,2009-01-20,0.508,0.953,4,-6.031,0,0.0806,0.256,0.0445,0.929,0.555,119.973,55
8,spotify:track:5uAEx8Gbz7FIWhhorTfU9o,The Apples In Stereo,Energy,2007-02-06,0.199,0.866,6,-4.88,1,0.0926,0.0803,6.46e-06,0.435,0.684,209.905,42
9,spotify:track:3xKTpGCsafXzV4muM1Hpl3,Frou Frou,Let Go,2002-01-01,0.524,0.559,5,-8.319,1,0.0298,0.185,5.94e-05,0.14,0.202,140.043,58
10,spotify:track:3xKTpGCsafXzV4muM1Hpl3,Frou Frou,Let Go,2002-01-01,0.524,0.559,5,-8.319,1,0.0298,0.185,5.94e-05,0.14,0.202,140.043,58
11,spotify:track:6Hmj7SrLRbreLVfVS7mV1S,Arcade Fire,Wake Up,2004-06-16,0.252,0.8,0,-4.845,1,0.0368,0.12,0.0538,0.118,0.29,139.361,66
12,spotify:track:050o7o0UOk31WYVIgL3QbZ,Architecture In Helsinki,Frenchy I'm Faking,2005-04-05,0.433,0.527,0,-5.828,1,0.0615,0.534,0.00741,0.265,0.518,169.092,32
13,spotify:track:7e8utCy2JlSB8dRHKi49xM,Arctic Monkeys,Fluorescent Adolescent,2007-04-24,0.646,0.813,6,-5.29,0,0.0288,0.00178,2.26e-05,0.144,0.821,112.115,68
14,spotify:track:5VvsZvy1mwx4teyvI7O9rs,Bat For Lashes,Daniel,2009-01-12,0.593,0.658,8,-8.393,0,0.0364,0.0118,0.0204,0.137,0.422,135.053,55
15,spotify:track:3stWWPN41byqp8loPdy92u,Beach House,Master of None,2006-10-03,0.492,0.344,5,-15.259,1,0.0259,0.674,0.531,0.0933,0.247,86.485,61
16,spotify:track:3DgNj1aYbSRVoVO8yX7DRt,Beck,Girl,2005-01-01,0.685,0.677,3,-6.552,1,0.11,0.0549,0.00332,0.285,0.855,149.421,51
17,spotify:track:1SxC3v3Mcm5VPxeXaF59NY,Belle & Sebastian,Another Sunny Day,2006-02-07,0.402,0.785,8,-5.441,1,0.0419,0.00343,0,0.0624,0.838,156.108,44
