,artist_name,track_name,release_date,danceability,energy,key,loudness,mode,speechiness,accousticness,instrumentalness,liveness,valence,tempo,popularity,cluster
0,Kanye West,All Day,2015-03-02,0.861,0.6509999999999999,9,-4.718,0,0.111,0.0739,0.0,0.21100000000000002,0.42100000000000004,122.985,0,7
1,Kanye West,Jesus Walks,2004-02-13,0.42700000000000005,0.8440000000000001,3,-4.5969999999999995,0,0.42700000000000005,0.578,0.0,0.284,0.716,85.346,0,7
2,Drake,10 Bands,2015-02-12,0.825,0.7559999999999999,11,-3.687,0,0.38299999999999995,0.265,2.15e-06,0.0762,0.888,172.938,64,1
3,Drake,0 To 100 / The Catch Up,2013-07-14,0.5589999999999999,0.716,11,-3.964,0,0.39,0.737,0.0,0.252,0.504,176.618,71,3
4,Kanye West,POWER,2010-11-22,0.542,0.914,0,-4.747,0,0.113,0.0161,0.0,0.7440000000000001,0.5760000000000001,153.993,78,4
5,JAY-Z,Ni**as In Paris,2011-08-08,0.7879999999999999,0.8590000000000001,1,-5.542000000000001,1,0.315,0.127,0.0,0.348,0.769,140.02700000000002,36,3
6,Kanye West,Clique,2012-09-06,0.7040000000000001,0.569,7,-4.998,0,0.247,0.0488,0.0,0.191,0.313,109.314,64,5
7,Kanye West,Stronger,2007-09-11,0.625,0.726,10,-7.731,0,0.155,0.00728,0.0,0.318,0.483,103.98,1,7
8,Fort Minor,Remember the Name (feat. Styles of Beyond),2005-11-21,0.688,0.835,8,-4.162,1,0.0911,0.0583,2.87e-06,0.0795,0.88,84.85799999999999,74,1
9,Kendrick Lamar,m.A.A.d city,2012-01-01,0.48700000000000004,0.7290000000000001,2,-6.815,1,0.271,0.0538,4.07e-06,0.44,0.217,91.04799999999999,67,5
10,Kanye West,Black Skinhead,2013-01-01,0.578,0.825,1,-6.107,1,0.322,0.000986,0.0,0.17600000000000002,0.28300000000000003,130.089,0,7
11,Desiigner,Panda,2016-06-26,0.5760000000000001,0.7659999999999999,10,-4.9430000000000005,0,0.449,0.027999999999999997,1.68e-06,0.366,0.23600000000000002,144.833,74,2
12,JAY-Z,F*ckwithmeyouknowigotit,2013-07-04,0.611,0.46399999999999997,10,-8.068,0,0.294,0.0171,0.214,0.0794,0.27399999999999997,127.766,57,2
13,Tyga,Rack City,2012-01-01,0.929,0.33899999999999997,1,-10.880999999999998,1,0.371,0.0373,1.9600000000000002e-05,0.187,0.273,98.986,66,2
14,ScHoolboy Q,Man Of The Year,2014-01-01,0.7490000000000001,0.865,3,-5.228,1,0.0413,0.00536,0.0,0.198,0.371,111.914,71,5
15,Kendrick Lamar,Backseat Freestyle,2012-01-01,0.546,0.6509999999999999,1,-7.601,1,0.3,0.000739,0.0,0.235,0.6459999999999999,77.878,54,5
16,Drake,Jumpman,2015-09-20,0.852,0.5529999999999999,1,-7.2860000000000005,1,0.187,0.0559,0.0,0.332,0.6559999999999999,142.079,74,5
17,Kanye West,All Of The Lights,2010-11-22,0.531,0.8029999999999999,1,-3.284,1,0.0717,0.0796,1.7100000000000002e-05,0.17600000000000002,0.221,142.113,75,3
18,Kanye West,Can't Tell Me Nothing,2007-09-11,0.594,0.614,5,-6.091,0,0.0536,0.0121,0.0,0.823,0.10099999999999999,79.968,0,4
19,Chief Keef,Love Sosa,2012-01-01,0.772,0.413,0,-8.193,0,0.08900000000000001,0.0361,0.0,0.111,0.21100000000000002,131.965,74,5
20,JAY-Z,Who Gon Stop Me,2011-08-08,0.593,0.73,0,-4.638,0,0.159,0.0408,0.000156,0.715,0.377,133.879,59,4
21,G-Eazy,Calm Down,2015-12-04,0.537,0.624,11,-8.794,1,0.325,0.000175,2.2e-06,0.11599999999999999,0.409,102.315,63,2
22,Kodak Black,Too Many Years,2016-06-10,0.665,0.706,8,-6.859,0,0.0958,0.0237,0.0,0.11199999999999999,0.632,147.067,4,7
23,Drake,Sneakin’,2016-10-24,0.8059999999999999,0.5579999999999999,8,-6.537999999999999,1,0.172,0.00496,1.45e-06,0.16,0.26,85.01100000000001,65,5
24,Ace Hood,Beast of the South,2016-11-09,0.728,0.488,1,-6.087000000000001,1,0.0512,0.0043,0.0,0.226,0.0602,131.148,0,5
25,Eminem,When I'm Gone,2005-12-06,0.515,0.74,10,-5.507000000000001,0,0.363,0.0493,0.0,0.258,0.765,75.922,1,7
26,JAY-Z,No Church In The Wild,2011-08-08,0.654,0.7509999999999999,8,-7.507999999999999,0,0.105,0.24600000000000002,0.0179,0.16699999999999998,0.568,92.781,22,7
27,Tinie Tempah,Pass Out,2010-01-01,0.693,0.8909999999999999,1,-3.261,1,0.29600000000000004,0.0281,0.0,0.14300000000000002,0.532,91.1,55,5
28,JAY-Z,Run This Town,2010-11-22,0.591,0.9209999999999999,1,-1.787,1,0.313,0.32299999999999995,0.0,0.302,0.428,86.80799999999999,52,3
29,Chiddy Bang,Opposite of Adults,2010-10-01,0.677,0.89,6,-5.46,0,0.159,0.0123,0.0,0.321,0.622,96.009,60,1
30,Big Sean,I Don't Fuck With You,2015-02-23,0.823,0.733,1,-5.474,1,0.0628,0.0349,0.0,0.324,0.397,97.97200000000001,0,7
31,Tyga,Feel Me,2017-01-01,0.486,0.6509999999999999,1,-3.8810000000000002,0,0.2,0.113,0.0,0.857,0.21,142.792,0,4
32,Stormzy,One Take Freestyle,2016-09-02,0.654,0.8190000000000001,6,-6.216,1,0.371,0.22,0.0,0.158,0.9209999999999999,88.029,49,7
33,Stormzy,First Things First,2017-02-24,0.726,0.8079999999999999,10,-4.377,0,0.134,0.344,0.00016299999999999998,0.0828,0.483,96.042,51,1
34,Stormzy,Cold,2017-02-24,0.732,0.9740000000000001,1,-2.158,1,0.168,0.20199999999999999,0.0,0.0853,0.7170000000000001,137.905,53,3
35,Stormzy,Bad Boys (feat. Ghetts and J Hus),2017-02-24,0.603,0.64,1,-5.215,1,0.29100000000000004,0.134,0.0,0.434,0.318,125.462,50,5
36,Stormzy,Big For Your Boots,2017-02-24,0.515,0.902,6,-4.729,0,0.38299999999999995,0.0313,0.0,0.09300000000000001,0.628,174.58900000000003,62,3
37,Stormzy,Mr Skeng,2017-02-24,0.6990000000000001,0.7240000000000001,1,-5.126,1,0.223,0.102,0.0,0.0865,0.402,140.157,51,3
38,Stormzy,Return Of The Rucksack,2017-02-24,0.743,0.782,9,-3.9760000000000004,1,0.0521,0.000831,0.000198,0.166,0.45799999999999996,139.005,49,3
39,Stormzy,Shut Up,2017-02-24,0.46799999999999997,0.823,4,-3.9730000000000003,1,0.466,0.81,0.0,0.598,0.941,74.457,67,4
40,Kanye West,Champions,2016-06-10,0.696,0.774,6,-2.424,0,0.084,0.0653,0.0,0.87,0.33,134.985,0,4
41,Drake,Hype,2016-05-06,0.785,0.633,7,-8.222999999999999,1,0.16899999999999998,0.0259,0.0,0.368,0.244,129.97,0,7
42,Stormzy,Know Me From,2015-03-08,0.7340000000000001,0.725,1,-8.965,1,0.395,0.40299999999999997,0.0,0.133,0.7859999999999999,139.967,55,2
43,Big Sean,Bounce Back,2017-02-03,0.684,0.5489999999999999,9,-5.695,1,0.248,0.11,0.0,0.125,0.27699999999999997,81.441,0,7
44,Kanye West,Pt. 2,2016-06-10,0.672,0.7290000000000001,11,-4.07,1,0.34299999999999997,0.536,0.0,0.777,0.272,145.089,0,4
45,Joey Bada$$,Devastated,2016-05-27,0.8370000000000001,0.48100000000000004,10,-8.522,0,0.0801,0.12,0.0,0.309,0.578,122.98,13,7
46,Drake,Pop Style,2016-05-06,0.7240000000000001,0.456,7,-10.009,1,0.127,0.215,2.41e-06,0.105,0.0481,133.05100000000002,0,0
47,Kanye West,Famous,2016-06-10,0.469,0.754,6,-3.6639999999999997,1,0.13,0.0679,0.0,0.106,0.42100000000000004,174.06799999999998,0,3
48,Logic,The Jam,2016-07-01,0.8140000000000001,0.585,10,-7.773,0,0.337,0.0148,0.0,0.115,0.376,149.05200000000002,0,2
49,Drake,6 God,2015-02-12,0.8590000000000001,0.623,2,-8.596,1,0.106,0.0248,0.0,0.125,0.48200000000000004,105.45,0,7
50,Future,Jersey,2015-09-20,0.757,0.528,0,-10.799000000000001,0,0.27399999999999997,0.511,0.000334,0.0936,0.302,146.056,0,2
51,Drake,No Long Talk,2017-03-18,0.9129999999999999,0.608,10,-6.8389999999999995,0,0.23399999999999999,0.0671,0.0,0.5329999999999999,0.578,97.06299999999999,0,7
52,Drake,Skepta Interlude,2017-03-18,0.745,0.8220000000000001,7,-6.354,1,0.252,0.0103,4.2000000000000004e-06,0.155,0.415,86.73299999999999,0,7
53,Kanye West,Runaway,2010-11-22,0.374,0.568,1,-3.825,0,0.109,0.21899999999999997,0.0021899999999999997,0.513,0.111,84.73299999999999,73,4
