Index,Track URI,Artist Name,Track Name,Release Date,Danceability,Energy,Key,Loudness,Mode,Speechiness,Accousticness,Instrumentalness,Liveness,Valence,Tempo,popularity
1,spotify:track:0t1kP63rueHleOhQkYSXFY,BTS,Dynamite,2020-08-28,0.746,0.765,6,-4.41,0,0.0993,0.0112,0,0.0936,0.737,114.044,97
2,spotify:track:09IStsImFySgyp0pIQdqAc,Zedd,The Middle,2018-01-23,0.753,0.657,7,-3.061,1,0.0449,0.171,0,0.112,0.437,107.01,82
3,spotify:track:6wXgnhpmOPEJ7cUweSyy2B,Diplo,Dance with Me (feat. Thomas Rhett & Young Thug),2020-05-27,0.73,0.792,6,-5.33,0,0.13,0.0264,0,0.101,0.745,99.039,76
4,spotify:track:0bRh7pc1nfIv2edfcIUlKh,Nelly Furtado,Promiscuous,2010-01-01,0.807,0.97,10,-6.056,0,0.0477,0.0536,6.6e-05,0.149,0.876,114.297,56
5,spotify:track:5nujrmhLynf4yMoMtj8AQF,Dua Lipa,Levitating (feat. DaBaby),2020-03-27,0.702,0.825,6,-3.787,0,0.0601,0.00883,0,0.0674,0.915,102.977,79
6,spotify:track:12tUCBq7V9qCF8qGOLpcnu,Maroon 5,Love Somebody,2012-01-01,0.675,0.79,1,-6.295,1,0.0369,0.129,0,0.121,0.423,120.015,57
7,spotify:track:7iNIg7XDEaYECfWD5dJ9Va,Justin Bieber,Friends (with BloodPop®),2017-08-17,0.743,0.735,8,-5.337,1,0.0382,0.00389,0,0.304,0.631,104.979,72
8,spotify:track:1sgDyuLooyvEML4oHspNza,Kygo,Lose Somebody,2020-05-29,0.58,0.586,1,-6.883,1,0.0357,0.344,0,0.0755,0.507,147.988,76
9,spotify:track:59qrUpoplZxbIZxk6X0Bm3,Jason Derulo,Take You Dancing,2020-07-22,0.789,0.711,2,-4.248,1,0.041,0.0332,0,0.0876,0.753,112.985,92
10,spotify:track:4vjpLMyL3ZO6aphdYr8XYw,Lauv,i'm so tired...,2020-03-06,0.599,0.733,11,-7.058,1,0.203,0.176,0,0.242,0.534,102.211,81
11,spotify:track:3tjFYV6RSFtuktYl3ZtYcq,24kGoldn,Mood (feat. iann dior),2020-07-24,0.7,0.722,7,-3.558,0,0.0369,0.221,0,0.272,0.756,90.989,99
12,spotify:track:2MbdDtCv5LUVjYy9RuGTgC,Jack Harlow,"WHATS POPPIN (feat. DaBaby, Tory Lanez & Lil Wayne) - Remix",2020-06-24,0.904,0.723,11,-5.224,0,0.26,0.0631,0,0.185,0.835,145.013,88
13,spotify:track:1IIKrJVP1C9N7iPtG6eOsK,Chris Brown,Go Crazy,2020-05-08,0.755,0.578,0,-8.932,0,0.145,0.316,0,0.25,0.581,94.148,88
14,spotify:track:6RRNNciQGZEXnqk8SQ9yv5,Taylor Swift,You Need To Calm Down,2019-08-23,0.771,0.671,2,-5.617,1,0.0553,0.00929,0,0.0637,0.714,85.026,80
15,spotify:track:1InCpEliLCkWHOBdXW7XSx,Ava Max,Kings & Queens,2020-09-18,0.637,0.69,1,-4.057,0,0.0405,0.00786,0,0.124,0.457,129.857,87
16,spotify:track:3H7ihDc1dqLriiWXwsc2po,Topic,Breaking Me,2019-12-19,0.789,0.72,8,-5.652,0,0.218,0.223,0,0.129,0.664,122.031,91
17,spotify:track:1xQ6trAsedVPCdbtDAmk0c,Jawsh 685,Savage Love (Laxed - Siren Beat),2020-06-11,0.767,0.481,0,-8.52,0,0.0803,0.234,0,0.269,0.761,150.076,91
18,spotify:track:5f1joOtoMeyppIcJGZQvqJ,Kane Brown,Be Like That - feat. Swae Lee & Khalid,2020-07-10,0.727,0.626,7,-8.415,1,0.0726,0.0469,2.58e-05,0.126,0.322,86.97,86
19,spotify:track:24ySl2hOPGCDcxBxFIqWBu,Lady Gaga,Rain On Me (with Ariana Grande),2020-05-22,0.672,0.855,9,-3.764,1,0.0397,0.021,0,0.323,0.646,123.056,85
20,spotify:track:5Gj1wG8b12VQdEd3hUuSwo,Kygo,Freedom,2020-04-17,0.715,0.635,7,-6.591,1,0.0791,0.127,0,0.0862,0.39,112.887,77
21,spotify:track:1rfofaqEpACxVEHIZBJe6W,Camila Cabello,Havana (feat. Young Thug),2018-01-12,0.765,0.523,2,-4.333,1,0.03,0.184,3.56e-05,0.132,0.394,104.988,82
22,spotify:track:1WSGTYKLEpKfNQYYW5Oymt,benny blanco,"I Can’t Get Enough (benny blanco, Selena Gomez, J Balvin, Tainy)",2019-02-28,0.541,0.468,10,-4.039,0,0.362,0.404,3.65e-06,0.358,0.69,95.266,72
23,spotify:track:4ZTTUAjJCd4NMZmIU7RB4c,Alesso,Midnight (feat. Liam Payne),2020-04-08,0.587,0.648,11,-6.927,0,0.0439,0.0561,0,0.115,0.281,144.028,79
24,spotify:track:2ez6qvOTHKeI3ss80NGqnI,SHAED,Trampoline (with ZAYN),2019-12-27,0.619,0.459,7,-5.782,0,0.0334,0.56,0,0.137,0.498,126.803,67
25,spotify:track:4nK5YrxbMGZstTLbvj6Gxw,BENEE,Supalonely,2019-11-15,0.863,0.631,7,-4.689,1,0.0534,0.305,3.04e-05,0.123,0.817,128.977,84
