Index,Track URI,Artist Name,Track Name,Release Date,Danceability,Energy,Key,Loudness,Mode,Speechiness,Accousticness,Instrumentalness,Liveness,Valence,Tempo,popularity
1,spotify:track:7HmnJHfs0BkFzX4x8j0hkl,KEVVO,Billetes Azules (with J Balvin),2020-10-16,0.856,0.721,7,-4.928,1,0.108,0.132,0.00471,0.182,0.642,94.991,74
2,spotify:track:1Q5QDlgl9zAQ4a2WeM4gQE,Wisin & Yandel,Paleta,2005-01-01,0.863,0.842,11,-4.904,1,0.168,0.123,0,0.254,0.721,95.0,49
3,spotify:track:5zj8WNkBrEzlI5FKeYV4ol,Sech,La Luz,2020-10-31,0.665,0.697,9,-4.819,0,0.154,0.427,1.39e-05,0.599,0.556,94.053,86
4,spotify:track:1kfXlrtUI6cQwzgFohuzte,GABIFUEGO,Perreo,2020-10-02,0.811,0.522,11,-11.241,1,0.0776,0.0445,0.00237,0.0698,0.793,94.981,34
5,spotify:track:2cpteAYHcd4cjSxAeCkA52,Bad Bunny,Yo Perreo Sola - Remix,2020-10-14,0.845,0.733,11,-6.037,1,0.0581,0.0147,1.57e-05,0.357,0.394,97.01,76
6,spotify:track:44r2HY8ZnKa5gJRqnKw7Sq,Arcangel,Payaso,2020-10-16,0.897,0.803,5,-4.669,0,0.151,0.252,0,0.339,0.78,94.003,65
7,spotify:track:1mGxiXPxKIuItW4D2eVgjI,LASTMONDAY,Susurro Riddim,2020-09-18,0.744,0.82,8,-5.203,0,0.229,0.00301,0.337,0.107,0.742,190.104,68
8,spotify:track:3da1bOCZSA1in4skGwWgMk,Brytiago,Borracho,2020-07-17,0.819,0.699,2,-4.124,0,0.169,0.473,0,0.454,0.664,92.023,50
9,spotify:track:2jS8Sl8601rtCf62eoblLW,Diego Raposo,perrrrreo,2020-08-18,0.79,0.493,7,-7.409,1,0.142,0.108,0.0235,0.0879,0.641,93.999,36
10,spotify:track:3iRMZq3iIaIBW5bH4VgWtM,Luny Tunes,Aventura,2003-08-26,0.858,0.741,9,-7.204,0,0.124,0.0196,2.04e-05,0.0974,0.823,93.001,58
11,spotify:track:3jbT1Y5MoPwEIpZndDDwVq,Tainy,Adicto (with Anuel AA & Ozuna),2019-08-22,0.734,0.836,10,-4.803,0,0.0735,0.017,1.64e-05,0.179,0.623,80.002,80
12,spotify:track:1kQqiC1rS1FiuVpeBKN0QN,Wisin & Yandel,Rakata,2005-01-01,0.872,0.786,1,-5.473,1,0.142,0.0348,0,0.0776,0.722,96.002,10
13,spotify:track:2jC7DWMDXMhv3wv3XajO0J,Arcangel,Ven Pegate,2005,0.847,0.727,2,-8.168,1,0.108,0.173,9.55e-05,0.112,0.7,94.997,49
14,spotify:track:4VKI2yBkCE4mWhFBwZp0LU,Ivy Queen,Quiero Saber,2004-01-27,0.846,0.905,6,-3.686,0,0.0588,0.139,1.01e-05,0.228,0.843,95.018,60
15,spotify:track:5DoLhdU27owX1NMrKLUbUl,Super Yei,"Lean (feat. Towy, Osquel, Beltito & Sammy & Falsetto)",2017-03-31,0.863,0.669,6,-5.952,0,0.282,0.111,0,0.0569,0.947,164.062,86
16,spotify:track:3oCghu20Kto5Xcu8Pg0cit,Rauw Alejandro,"Elegí (feat. Farruko, Anuel AA, Sech, Dímelo Flow & Justin Quiles) - Remix",2020-08-28,0.788,0.629,0,-4.727,1,0.0883,0.16,0.000828,0.0598,0.738,172.044,75
17,spotify:track:6jhuprDoUF22u8UJLu0qth,XAXO,BEBE,2020-08-28,0.64,0.821,7,-3.852,1,0.0445,0.0222,0,0.239,0.657,169.993,49
18,spotify:track:64cYicLM2M9kt0qqivHvte,Toby Letra,PrenDT,2020-07-17,0.725,0.79,5,-5.827,0,0.237,0.622,1.25e-05,0.14,0.722,89.905,31
19,spotify:track:4Vpwf76uBHswSRhhpg0llh,Ozuna,Gistro Amarillo,2020-07-23,0.798,0.846,7,-3.761,0,0.178,0.214,0,0.0906,0.76,92.064,66
20,spotify:track:2up69Rho7swRdP1MHqzX3n,Wisin & Yandel,Pam Pam,2013-01-01,0.874,0.69,10,-6.373,1,0.114,0.121,0,0.249,0.735,95.025,66
21,spotify:track:7xJeg4TFZBwoK63G98YRaA,Nakary,Sin Tabú,2020-07-10,0.721,0.784,2,-4.797,1,0.275,0.0813,9.39e-06,0.0855,0.585,179.954,65
22,spotify:track:5qpGCIBMQX9F86mcAClaOF,Young Cister,LA CAMITA,2020-02-07,0.743,0.858,7,-3.675,1,0.136,0.503,0.000393,0.0855,0.525,184.087,49
23,spotify:track:5W1Wuga2pBAjKORpP3k0T2,LATENIGHTJIGGY,She Say (feat. Eladio Carrion),2020-07-10,0.72,0.693,5,-6.932,0,0.0606,0.206,0,0.124,0.588,91.982,45
24,spotify:track:47ZS1OjnJpJVfGN9yHXfMn,Alex Rose,Toda Remix - Remix,2018-06-01,0.512,0.451,5,-7.222,0,0.131,0.161,0,0.0672,0.368,80.04,76
25,spotify:track:3gupdUJxqmwh2pJhLJm51Z,D. Krugga,P-Perreo,2020-06-26,0.813,0.727,2,-5.25,1,0.0609,0.0292,0,0.0988,0.273,95.005,38
26,spotify:track:4iKznA0Zia7dNQxZ6574uC,Feid,PORFA - Remix,2020-06-26,0.792,0.736,6,-4.764,0,0.0815,0.0939,1.06e-06,0.075,0.69,167.915,74
27,spotify:track:3gD4J3RUHy4OUuZ3qAiaiG,Ozuna,Caramelo,2020-06-11,0.728,0.806,6,-3.766,1,0.0623,0.0531,0.000301,0.153,0.698,168.084,86
28,spotify:track:614NVFo5csQqRnryl4jXs2,"Héctor ""El Father""",El Telefono,2006-01-01,0.808,0.682,2,-7.128,1,0.0963,0.171,1.42e-06,0.464,0.491,89.987,66
29,spotify:track:5ot5K8NQtr8fCmhCxh7gmm,Alexis y Fido,Mala Suerte,2020-05-15,0.822,0.633,1,-3.897,0,0.113,0.134,0,0.177,0.689,170.016,56
30,spotify:track:4etu1vf1o3YYNUN0z4HiPs,Guaynaa,Mera,2020-05-28,0.806,0.881,6,-5.231,1,0.252,0.178,7.74e-06,0.356,0.961,176.07,57
31,spotify:track:2tFwfmceQa1Y6nRPhYbEtC,Jhay Cortez,CÓMO SE SIENTE - Remix,2020-05-09,0.807,0.606,3,-8.871,0,0.088,0.0946,0,0.119,0.304,92.988,85
32,spotify:track:50ZC4PM7hywH27RcCfViau,Rauw Alejandro,Elegí (feat. Dímelo Flow),2020-03-26,0.824,0.631,0,-2.791,1,0.0809,0.237,0.000116,0.0531,0.678,171.965,84
33,spotify:track:5zxHw6nOeQqProEH72NpPk,Nobeat,Perreo Sano,2020-04-24,0.521,0.429,10,-11.669,1,0.29,0.31,0,0.0622,0.746,162.817,47
34,spotify:track:1Adwhpmwhz1CSi7E7QTwIC,Sech,Oficial,2020-05-21,0.838,0.782,1,-2.723,0,0.147,0.262,0,0.194,0.772,89.952,62
