Index,Track URI,Artist Name,Track Name,Release Date,Danceability,Energy,Key,Loudness,Mode,Speechiness,Accousticness,Instrumentalness,Liveness,Valence,Tempo,popularity
1,spotify:track:54bFM56PmE4YLRnqpW6Tha,Billie Eilish,Therefore I Am,2020-11-12,0.889,0.34,11,-7.773,0,0.0697,0.218,0.13,0.055,0.716,94.009,94
2,spotify:track:1jgu8MFTEGdL1wjw9gZj5y,Tones And I,Fly Away,2020-11-13,0.805,0.515,4,-6.201,1,0.0915,0.223,0,0.238,0.488,124.969,64
3,spotify:track:6UelLqGlWMcVH1E5c4H7lY,Harry Styles,Watermelon Sugar,2019-12-13,0.548,0.816,0,-4.209,1,0.0465,0.122,0,0.335,0.557,95.39,94
4,spotify:track:4abn7Lc3illnEHFc9ki6x2,Katy Perry,Resilient (ft. Aitana) [Tiësto Remix],2020-11-13,0.639,0.784,0,-4.905,1,0.0562,0.0435,0,0.111,0.321,126.946,68
5,spotify:track:5iqfKcEGKhoeWTNqmZPiu3,RAYE,Love Of Your Life,2020-11-06,0.632,0.826,10,-5.326,0,0.0699,0.00161,2.89e-06,0.146,0.474,111.886,67
6,spotify:track:4y4spB9m0Q6026KfkAvy9Q,Justin Bieber,Lonely (with benny blanco),2020-10-16,0.631,0.239,11,-7.071,0,0.0398,0.864,0,0.116,0.0927,79.859,95
7,spotify:track:6ft4hAq6yde8jPZY2i5zLr,MEDUZA,Paradise (feat. Dermot Kennedy),2020-10-30,0.632,0.595,8,-7.644,0,0.0401,0.0689,0,0.209,0.435,124.114,86
8,spotify:track:1ABS9lKaZ1uXkXCqr9zFO7,Sam Smith,Kids Again,2020-10-30,0.666,0.726,11,-2.998,1,0.0262,0.486,0,0.0892,0.468,128.044,76
9,spotify:track:3tjFYV6RSFtuktYl3ZtYcq,24kGoldn,Mood (feat. iann dior),2020-07-24,0.7,0.722,7,-3.558,0,0.0369,0.221,0,0.272,0.756,90.989,99
10,spotify:track:7MtJ0dU4m3F6JQG9qdyaPk,Don Diablo,Kill Me Better,2020-10-30,0.477,0.784,8,-3.598,1,0.0549,0.108,0,0.135,0.504,79.887,69
11,spotify:track:5GkQIP5mWPi4KZLLXeuFTT,Ariana Grande,motive (with Doja Cat),2020-10-30,0.789,0.742,10,-5.664,0,0.0652,0.0681,0,0.166,0.661,116.965,88
12,spotify:track:0sf12qNH5qcw8qpgymFOqD,The Weeknd,Blinding Lights,2019-11-29,0.513,0.796,1,-4.075,1,0.0629,0.00147,0.000209,0.0938,0.345,171.017,30
13,spotify:track:5C2ry6OWozoqrEDyBz7MOX,Major Lazer,Hell and High Water (feat. Alessia Cara),2020-10-23,0.474,0.772,5,-5.925,0,0.26,0.368,3.32e-06,0.183,0.427,169.893,54
14,spotify:track:5psEZhQu6lukjhavJo4AbC,The Kid LAROI,SO DONE,2020-10-23,0.719,0.598,9,-6.254,1,0.077,0.232,0,0.115,0.303,142.592,87
