Index,Track URI,Artist Name,Track Name,Release Date,Danceability,Energy,Key,Loudness,Mode,Speechiness,Accousticness,Instrumentalness,Liveness,Valence,Tempo,popularity
1,spotify:track:67tGf03MoPLpwPVO9SUdpP,Ivete Sangalo,"Medley: Beleza Rara / Tum, Tum, Goiaba / Pra Sempre Ter Você / Fã / Miragem / Eva (Eva) - Live",2014-05-06,0.559,0.893,4,-6.66,0,0.0702,0.222,0.024,0.916,0.586,111.467,34
2,spotify:track:4PwQM7Mgy5CixFZxEsg8Zv,Ja Rule,Mesmerize,2009-01-01,0.759,0.722,8,-4.898,1,0.208,0.0675,0,0.256,0.421,90.05,39
3,spotify:track:0VGHoMRGfUf2CMFokyuhaC,Ja Rule,Put It On Me,2000-01-01,0.831,0.79,1,-4.714,0,0.165,0.0024,0,0.0515,0.791,93.14,0
4,spotify:track:5HQVUIKwCEXpe7JIHyY734,Snoop Dogg,"Young, Wild & Free (feat. Bruno Mars)",2011-10-11,0.715,0.655,0,-6.425,1,0.137,0.0525,0,0.115,0.531,95.078,78
5,spotify:track:4675yUu8AUbE72T94BkLCD,Snoop Dogg,Beautiful,2005-01-01,0.893,0.74,11,-4.936,0,0.132,0.299,0,0.0881,0.963,101.025,65
6,spotify:track:2Vm02GfejcQV4cjs6Lb2mx,Sandy e Junior,Chuva De Prata,2001-01-01,0.639,0.461,0,-9.61,1,0.0305,0.647,0.000467,0.112,0.279,94.981,0
7,spotify:track:7hSa4Y5zKqmvdiovStXQGA,Mc Sapao,Eu Sei Cantar - Ao Vivo,2013-11-25,0.647,0.877,5,-5.208,1,0.0689,0.61,1.08e-06,0.871,0.738,97.991,16
8,spotify:track:6RsWqX8zABZLhZydXxEFOm,The Weeknd,Can't Feel My Face,2015-08-28,0.702,0.77,9,-5.416,0,0.0482,0.124,0,0.103,0.593,107.951,1
9,spotify:track:4VrWlk8IQxevMvERoX08iC,Sia,Chandelier,2014-07-04,0.399,0.787,1,-2.88,1,0.0499,0.0197,6.07e-05,0.0685,0.572,117.089,79
10,spotify:track:6FeGkJquvWWoAOa3rMM6EB,Vance Joy,Riptide - FlicFlac Edit,2014-03-10,0.708,0.667,8,-7.934,1,0.0418,0.253,0.000692,0.0878,0.634,115.987,52
11,spotify:track:2EBCVPNAG46nbgs6jXPGvv,Nicki Minaj,Starships,2012-01-01,0.747,0.716,11,-2.457,0,0.075,0.135,0,0.251,0.751,125.008,75
12,spotify:track:0KNUFnHCNA6xowuOoSyH6I,MC Marcinho,Hino Funkeiro,2018-03-21,0.912,0.907,2,-5.758,1,0.0703,0.377,0,0.115,0.702,128.971,0
13,spotify:track:7xsf0x3JXNlhKxkySTwjpV,Sandy e Junior,No Fundo Do Coração - Ao Vivo,2007-09-23,0.62,0.56,2,-7.812,1,0.0234,0.316,0,0.753,0.499,95.054,36
14,spotify:track:0JvnCYjqTmjDlfuyOFbGlg,Sandy e Junior,Não Dá Pra Não Pensar - Ao Vivo,2007-09-23,0.698,0.794,9,-6.778,1,0.0391,0.0698,0,0.983,0.561,106.076,37
